TIME,GEO,ANIMALS,MONTH,UNIT,Value,Flag and Footnotes
2010,Bulgaria,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),57.16,
2010,Bulgaria,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),84.26,
2010,Bulgaria,"Bovine animals, 1 year",December,Thousand head (animals),53.09,
2010,Czechia,Live bovine animals,December,Thousand head (animals),1319.41,
2010,Czechia,"Bovine animals, less than 1 year",December,Thousand head (animals),388.2,
2010,Czechia,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),25.08,
2010,Czechia,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),363.12,
2010,Czechia,"Bovine animals, 1 year",December,Thousand head (animals),302.56,
2010,Denmark,Live bovine animals,December,Thousand head (animals),1630,
2010,Denmark,"Bovine animals, less than 1 year",December,Thousand head (animals),553,
2010,Denmark,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),281,
2010,Denmark,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),272,
2010,Denmark,"Bovine animals, 1 year",December,Thousand head (animals),317,
2010,Germany (until 1990 former territory of the FRG),Live bovine animals,December,Thousand head (animals),12706.23,
2010,Germany (until 1990 former territory of the FRG),"Bovine animals, less than 1 year",December,Thousand head (animals),3867.58,
2010,Germany (until 1990 former territory of the FRG),"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),210.96,
2010,Germany (until 1990 former territory of the FRG),"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),3656.62,
2010,Germany (until 1990 former territory of the FRG),"Bovine animals, 1 year",December,Thousand head (animals),3016.02,
2010,Estonia,Live bovine animals,December,Thousand head (animals),236.3,
2010,Estonia,"Bovine animals, less than 1 year",December,Thousand head (animals),62.7,
2010,Estonia,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),3.1,
2010,Estonia,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),59.6,
2010,Estonia,"Bovine animals, 1 year",December,Thousand head (animals),47.7,
2010,Ireland,Live bovine animals,December,Thousand head (animals),5917.7,
2010,Ireland,"Bovine animals, less than 1 year",December,Thousand head (animals),1694.6,
2010,Ireland,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),8.3,
2010,Ireland,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),1686.3,
2010,Ireland,"Bovine animals, 1 year",December,Thousand head (animals),1520.49,
2010,Greece,Live bovine animals,December,Thousand head (animals),679,
2010,Greece,"Bovine animals, less than 1 year",December,Thousand head (animals),182,
2010,Greece,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),71,
2010,Greece,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),111,
2010,Greece,"Bovine animals, 1 year",December,Thousand head (animals),136,
2010,Spain,Live bovine animals,December,Thousand head (animals),6075.08,
2010,Spain,"Bovine animals, less than 1 year",December,Thousand head (animals),2120.92,
2010,Spain,"Bovine animals, less than 1 year, for slaughter",December,Thousand head (animals),1529.95,
2010,Spain,"Bovine animals, less than 1 year, not for slaughter",December,Thousand head (animals),590.97,
2010,Spain,"Bovine animals, 1 year",December,Thousand head (animals),695.93,
