TIME,GEO,NUTRIENT,UNIT,Value,Flag and Footnotes
2010,Czechia,Phosphorus,Tonne,13654,
2010,Denmark,Nitrogen,Tonne,190072,e
2010,Denmark,Phosphorus,Tonne,10000,e
2010,Germany (until 1990 former territory of the FRG),Nitrogen,Tonne,1569045,
2010,Germany (until 1990 former territory of the FRG),Phosphorus,Tonne,102675,
2010,Estonia,Nitrogen,Tonne,28628,
2010,Estonia,Phosphorus,Tonne,2671,
2010,Ireland,Nitrogen,Tonne,337574,
2010,Ireland,Phosphorus,Tonne,28235,
2010,Greece,Nitrogen,Tonne,212948,
2010,Greece,Phosphorus,Tonne,30073,
2010,Spain,Nitrogen,Tonne,940984,
2010,Spain,Phosphorus,Tonne,147495,
2010,France,Nitrogen,Tonne,2080333,
2010,France,Phosphorus,Tonne,177025,
2010,Croatia,Nitrogen,Tonne,109345,
2010,Croatia,Phosphorus,Tonne,15763,
2010,Italy,Nitrogen,Tonne,586130,
2010,Italy,Phosphorus,Tonne,229716,
2010,Cyprus,Nitrogen,Tonne,9369,e
2010,Cyprus,Phosphorus,Tonne,2286,
2010,Latvia,Nitrogen,Tonne,59458,
2010,Latvia,Phosphorus,Tonne,6840,
2010,Lithuania,Nitrogen,Tonne,143200,e
2010,Lithuania,Phosphorus,Tonne,15000,e
2010,Luxembourg,Nitrogen,Tonne,13766,
2010,Luxembourg,Phosphorus,Tonne,515,
2010,Hungary,Nitrogen,Tonne,281428,
2010,Hungary,Phosphorus,Tonne,19976,
2010,Malta,Nitrogen,Tonne,552,
2010,Malta,Phosphorus,Tonne,31,
2010,Netherlands,Nitrogen,Tonne,205211,
2010,Netherlands,Phosphorus,Tonne,12513,
2010,Austria,Nitrogen,Tonne,104762,
2010,Austria,Phosphorus,Tonne,12527,
2010,Poland,Nitrogen,Tonne,1027430,
2010,Poland,Phosphorus,Tonne,154183,
2010,Portugal,Nitrogen,Tonne,100249,
2010,Portugal,Phosphorus,Tonne,18090,
2010,Romania,Nitrogen,Tonne,305757,
2010,Romania,Phosphorus,Tonne,53849,
2010,Slovenia,Nitrogen,Tonne,27486,
2010,Slovenia,Phosphorus,Tonne,4323,
2010,Slovakia,Nitrogen,Tonne,106513,r
2010,Slovakia,Phosphorus,Tonne,7041,r
2010,Finland,Nitrogen,Tonne,156523,
2010,Finland,Phosphorus,Tonne,12599,
2010,Sweden,Nitrogen,Tonne,168000,
2010,Sweden,Phosphorus,Tonne,9800,
2010,United Kingdom,Nitrogen,Tonne,1016417,
2010,United Kingdom,Phosphorus,Tonne,80314,
2010,Norway,Nitrogen,Tonne,84131,
2010,Norway,Phosphorus,Tonne,7818,
2010,Switzerland,Nitrogen,Tonne,55500,
2010,Switzerland,Phosphorus,Tonne,4672,
2010,Turkey,Nitrogen,Tonne,1343698,
2010,Turkey,Phosphorus,Tonne,224875,
2011,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)",Nitrogen,Tonne,10760715,e
2011,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2019)",Phosphorus,Tonne,1259319,e
2011,European Union - 28 countries,Nitrogen,Tonne,10885730,e
